order,batchNumber,levelName,makerName,discordName,progress,difficultyName,gameStyle,mainTheme,subTheme,briefDescription,region,clearCondition,averageClearTime,description,makerDescription,makerId,difficulty,tags,nationality,levelCode
1,1,Twister Magnet Madness,Kiavik,,100%,Expert,SMB3,Sky,Sky,A platforming level using the twisters gimmick.,Italy,,,Let the magic sucking power of the twisters (also known as the blowey joeys) guide you through a course that is both easy going and action packed!,"As the leader of 4YMM, Kiavik hopes everyone appreciates all the work that went into the project. He’ll do the honors by having, for the first time, the very first level in the project.",4D5-TCL-WMG,6,Themed,IT,NNN-4V2-BNF
2,1,Sawmill Thrill,Sypher,Sypher,100%,Expert,SMW,Forest,Airship,A forest / sawmill level inspired by Sawmill Thrill from DKC:TF. Airship theme features the inside of the sawmill. Including a boss fight at the end.,The Netherlands,,,"Smoke is rising up, the sounds of industry resonating through the trees. A treacherous sawmill has emerged in the heart of the Mushroom Forest, and now this once peaceful land is under attack! This level takes inspiration from the DKC series and is filled to the brim with secrets, dangerous machinery and edge-of-the-seat action sequences.","Sypher has been around ever since the earliest hours of Super Mario Maker for Wii U. His levels are known for their visually pleasing and distinctive style. He’s always striving for the best possible aesthetics. Because of that, it will probably take him 10 more years to complete his 80-level game. Besides making, Sypher finds his passion in music, flying and wellness… and hopes to fulfil his long-time dream of setting up his own spa & wellness centre one day.",6K5-BL2-HYF,5,"Traditional,Themed",NL,8NK-C9C-LHF
3,1,The Sands of Time,CTRX,,100%,Expert,NSMBU,Desert,Desert Night,"Title:Sands of Time. Parallel Metroidvania level. Go back and forth between the burning day desert and the frozen night desert. At night, the route changes due to different enemies, constantly blowing winds and frozen coins.",Japan,,Long (average etc. > 4 minutes),"In the daytime desert, it's burning hot, and you'll have a feeling of awe for the sun. In the nighttime desert, the freezing wind blows constantly, but you'll be at a loss for words by the dazzling starry sky. Switch between day and night to leave your footprints on the sands of time!","CTRX is a Japanese maker who loves to create something unique. On Christmas 2015, his wife gave him a surprise gift. Yes, a Wii U with Mario Maker! Since then he has been addicted to this incredible game. But his addiction made his wife appalled, so this time he had to buy the Nintendo Switch himself!",8DV-NH6-Q9G,4,"Traditional,Puzzle",JP,23L-5VP-N3G
4,1,"So Close, Yet So Far",Buflen,,100%,Super Expert,SMB3,Castle,Castle,Bouncing on dry bones with enemies spawning and disapearing using on offs blocks.,USA,,Short (Average completion time < 1:30 minutes),"When Super Mario Maker 1 came out, Buflen’s favorite level design philosophy was non-linearity and reusing space as much as possible, sometimes to a fault. As he progressed as a maker, he started making much more linear levels with a single path. For this 4YMM, Buflen decided to merge those 2 styles into one level to get the best of both worlds. A frog suit is hidden in the level, finding it is essential for true ending.","Buflen makes challenging but fair levels, often described as a good introduction for newcomers to the world of kaizo. But all he really does is make levels he’d personally enjoy playing. Outside of mario maker, Buflen loves good micro-brewery beers and music, which often influence his level names.",MMF-HSW-TBG,7,Action,CA,D4S-T0C-16G
5,1,Direction Detection,Nabuz,nickabuz,100%,Expert,SMB3,Underground,Underground,"Series of puzzle rooms where on/off state is dependent on the direction mario faces (facing right = red, facing left = blue)",USA,,Medium (Average completion time between  1:30 and 4 minutes,"Get ready to face some unique challenges through ten rooms with machines that react to the player in an unprecedented way. If you manage to complete the boss without taking damage and find the secret, you can get a look at how to build this machine for yourself.","Nabuz is a 21-year-old software engineer and college student in the US. From making unfair precision levels in Lunar Magic as a kid to making unintuitive one-screen puzzles in MM1, Nabuz got all his hot garbage out early so he could bring his A-game to MM2. His favorite kinds of levels to build are ones that use contraptions to change the rules of the game, like his recent level, Flipswitch Caverns, and the levels he’s debuting for 4YMM (that he’s been sitting on for many months).",L7R-T93-TRG,6,"Themed,Puzzle",US,GYS-YCH-1GF
6,1,Pipeline Pumpworks,Gilmore,Papa Laz,100%,Super Expert,3DW,Forest,Forest,Vertical (going up) & custom autoscroll 3dw level where the gimmick is that the water level goes up and down the whole time. Expert/super expert.,USA,,Short (Average completion time < 1:30 minutes),"Donkey Kong’s toilet broke again after a few too many ketchup banana sundaes. Luckily Mario is a homie and decides to check out the plumbing. However, he will need to take advantage of the dynamic waterworks to make it out in time for Mama Luigi’s famous spaghetti.","Gilmore is a 21-year-old guy from the US who likes making cool platforming levels. Favorite games include Mario Sunshine, Yoshi’s Island and the DKC series.",J2W-01H-QMG,6,"Themed,Autoscroll",US,NJD-T0C-LYG
7,1,Permuting Perspectives,Zurfink,,100%,Normal,SMW,Ghost House,Ghost House,The level is focused on puzzles using custom auto-scroll.,Europe,,Medium (Average completion time between  1:30 and 4 minutes,"In this puzzle level, the custom autoscroll will show you different parts of the level at different times. Can you find your way through and solve the puzzles despite the changing perspectives?",Zurfink is a Swedish student that has always been a fan of Nintendo. He started making levels in Super Mario Maker 2 and this is the first time he is part of the yearly celebration.,4N3-DGJ-QYF,7,"Puzzle,Autoscroll",SE,QMP-R3F-4GF
8,1,Magikoopa’s Apprentice,Nira,Nira,100%,Expert,SMB1,Ghost House Night,Ghost House Night,"The level through the darkness, relying on Kamek's magic and Boo's trail. Classical Music [The Sorcerer's Apprentice]",Japan,,Medium (Average completion time between  1:30 and 4 minutes,"Hello everyone, and welcome to the 4YMM anniversary concert by Kamek's orchestra. Today’s program is ""The Sorcerer's Apprentice"" by Dukas. Conducted by Master Kamek, played by Boos and ""jumped"" by the apprentice Mario. Don't worry if Mario has difficulty in seeing his feet during the music, Boos will guide him properly. Now that we're ready, the concert can start!","When SMM was released on the WiiU, Nira bought it with the console and was extremely addicted to it. His only complaint about SMM1 was the lack of the Athletic BGM, so he's very happy with its addition for SMM2. He loves simple and tough action games.",QKY-G3W-4JF,4,"Themed, Musical",JP,4SG-N35-GDF
9,2,Uncaged,kurfix,,100%,Normal,SMB3,Forest Night,Forest Night,"Story level about rescue kidnapped baby. It include a cutscenes. Gameplay is built around overpassing boo's, which are moving on a conveyor with ""semi-automatic"" on/off. It's mostly platforming with a little puzzle.",Europe,,Short (Average completion time < 1:30 minutes),"What a wonderful day in the Dry Bones swamp. Everyone’s enjoying good weather, doing happy little things. There's only one sad Boo trapped in a cage, go and free him so everybody's happy.","Kurfix is from Poland. He's a big fan of 2D platforming games, especially SMB3 and Rayman Legends (over 1000 diamond cups). Besides games he loves watching F1 and MotoGP.",SJF-BYN-WVG,7,Themed,PL,2M8-JBQ-FFF
10,2,Tomb Train,Katz,,100%,Super Expert,SMW,Underground,,"Fast-paced, flashy platformer that keeps you running.",Europe,No,Short (Average completion time < 1:30 minutes),"Who thought it would be a good idea to build this railway line through a tomb? No wonder you’re the only passenger on this train. Wait, are the brakes not working? It’s bad enough that there are sawblades everywhere in this tunnel, and now this!","Katz is a cat from Germany that likes to play video games more than hunting birds. He is a variety creator, but tends to make fast and challenging platformers, while his favorite courses to play happen to be precision levels.",N49-Y01-HBG,7,Action,DE,B78-JQK-M0H
11,2,Link's Great Music Palace,General BB,Geitje,100%,Normal,SMB1,Ghost House,Ghost House,Zelda 2 Dungeon with Music,The Netherlands,,Medium,"A Link level featuring a big explorable palace with baddies to kill and red coins to collect. The level is inspired by Zelda II - the Adventure of Link from the NES. The level features custom music taken from the final palace of the game. The music loops globally, which makes for a unique style of music level.","BB is a programmer from Amsterdam in the Netherlands. He hangs around in Psycrows research-lab discord where he posts Mario Maker 2 discoveries. His levels are very technical and he’s praised for his clock-work like track setups that blast looping music throughout the level. His favorite item in the game are note blocks. Global instruments are one of Geitje’s discoveries, which will be premiered in his 4YMM level.",WP8-TVK-Q0H,3,"Themed,Musical",NL,69X-5XM-FJG
12,2,Hot Lava Cake,MegaTefyt,,100%,Super Expert,3DW,Castle,Castle,Nine challenge rooms with rising lava as timer,Europe,,Medium (Average completion time between  1:30 and 4 minutes,Hot Lava Cake is a 3D World level with different challenge rooms. You have to reach the exit of each room before the rising lava gets you. Will you reach the cake or is it just a lie?,"MegaTefyt is a 38 years old software developer from Germany. He is married, father of two children and somehow still has time to build levels. He is known for the Get A Life! series, but loves to make platforming levels, which are not too hard. He has built levels for more than 25 years, in games like Duke Nukem 3D or Half-Life.",6YM-S34-KXG,7,Action,DE,068-55J-SLG
